Lauraceae,Melastomataceae,8.0
Fagaceae,Ericaceae,8.0
Rosaceae,Lauraceae,8.0
Lauraceae,Fagaceae,9.0
Ericaceae,Lauraceae,5.0
Fagaceae,Sapindaceae,9.0
Melastomataceae,Apocynaceae,8.0
Malvaceae,Fagaceae,8.0
Melastomataceae,Salicaceae,9.0
Phyllanthaceae,Malvaceae,7.0
Apocynaceae,Rosaceae,8.0
Phyllanthaceae,Annonaceae,8.0
Lauraceae,Rubiaceae,6.0
Fagaceae,Passifloraceae,8.0
Apocynaceae,Malvaceae,7.0
Combretaceae,Celastraceae,6.0
Fabaceae,Celastraceae,4.0
Betulaceae,Myrtaceae,9.0
Malvaceae,Phyllanthaceae,7.0
Apocynaceae,Apocynaceae,0.0
Passifloraceae,Combretaceae,8.0
Anacardiaceae,Phyllanthaceae,8.0
Annonaceae,Celastraceae,7.0
Salicaceae,Melastomataceae,9.0
Ericaceae,Betulaceae,8.0
Celastraceae,Combretaceae,6.0
Salicaceae,Rubiaceae,9.0
Celastraceae,Salicaceae,4.0
Anacardiaceae,Rubiaceae,8.0
Betulaceae,Lauraceae,9.0
Ericaceae,Combretaceae,6.0
Annonaceae,Ericaceae,5.0
Apocynaceae,Melastomataceae,8.0
Ericaceae,Malvaceae,6.0
Celastraceae,Rosaceae,5.0
Apocynaceae,Lauraceae,6.0
Combretaceae,Phyllanthaceae,7.0
Rosaceae,Anacardiaceae,8.0
Sapindaceae,Myrtaceae,6.0
Myrtaceae,Betulaceae,9.0
Ericaceae,Annonaceae,5.0
Sapindaceae,Combretaceae,5.0
Combretaceae,Malvaceae,4.0
Rosaceae,Fabaceae,3.0
Rosaceae,Sapindaceae,8.0
Sapindaceae,Salicaceae,9.0
Fabaceae,Phyllanthaceae,5.0
Rubiaceae,Rubiaceae,0.0
Annonaceae,Anacardiaceae,8.0
Ericaceae,Celastraceae,6.0
Combretaceae,Melastomataceae,3.0
Celastraceae,Phyllanthaceae,3.0
Rubiaceae,Anacardiaceae,8.0
Annonaceae,Malvaceae,7.0
Fagaceae,Rubiaceae,9.0
Salicaceae,Anacardiaceae,9.0
Myrtaceae,Anacardiaceae,6.0
Fagaceae,Lauraceae,9.0
Phyllanthaceae,Passifloraceae,3.0
Lauraceae,Ericaceae,5.0
Sapindaceae,Malvaceae,3.0
Rosaceae,Annonaceae,8.0
Combretaceae,Annonaceae,7.0
Apocynaceae,Betulaceae,9.0
Celastraceae,Malvaceae,6.0
Fabaceae,Fagaceae,4.0
Celastraceae,Rubiaceae,7.0
Myrtaceae,Annonaceae,8.0
Phyllanthaceae,Celastraceae,3.0
Fabaceae,Betulaceae,4.0
Fagaceae,Fabaceae,4.0
Betulaceae,Malvaceae,8.0
Rosaceae,Melastomataceae,8.0
Melastomataceae,Fabaceae,7.0
Anacardiaceae,Passifloraceae,9.0
Betulaceae,Combretaceae,8.0
Betulaceae,Fagaceae,2.0
Combretaceae,Betulaceae,8.0
Fabaceae,Annonaceae,7.0
Phyllanthaceae,Lauraceae,8.0
Lauraceae,Betulaceae,9.0
Fabaceae,Myrtaceae,7.0
Myrtaceae,Ericaceae,7.0
Rubiaceae,Fagaceae,9.0
Rubiaceae,Salicaceae,9.0
Sapindaceae,Sapindaceae,0.0
Betulaceae,Apocynaceae,9.0
Apocynaceae,Anacardiaceae,8.0
Melastomataceae,Malvaceae,5.0
Sapindaceae,Lauraceae,8.0
Ericaceae,Ericaceae,0.0
Myrtaceae,Sapindaceae,6.0
Melastomataceae,Ericaceae,7.0
Lauraceae,Passifloraceae,9.0
Rubiaceae,Malvaceae,7.0
Phyllanthaceae,Salicaceae,3.0
Celastraceae,Sapindaceae,7.0
Malvaceae,Myrtaceae,5.0
Celastraceae,Ericaceae,6.0
Melastomataceae,Betulaceae,9.0
Combretaceae,Passifloraceae,8.0
Rubiaceae,Phyllanthaceae,8.0
Sapindaceae,Apocynaceae,8.0
Apocynaceae,Combretaceae,7.0
Celastraceae,Lauraceae,7.0
Myrtaceae,Apocynaceae,8.0
Anacardiaceae,Rosaceae,8.0
Malvaceae,Lauraceae,7.0
Phyllanthaceae,Anacardiaceae,8.0
Lauraceae,Combretaceae,7.0
Passifloraceae,Rubiaceae,9.0
Malvaceae,Sapindaceae,3.0
Phyllanthaceae,Rubiaceae,8.0
Passifloraceae,Salicaceae,2.0
Anacardiaceae,Ericaceae,7.0
Passifloraceae,Fabaceae,6.0
Phyllanthaceae,Myrtaceae,8.0
Celastraceae,Betulaceae,6.0
Celastraceae,Fabaceae,4.0
Apocynaceae,Ericaceae,3.0
Phyllanthaceae,Phyllanthaceae,0.0
Passifloraceae,Rosaceae,7.0
Apocynaceae,Phyllanthaceae,8.0
Rosaceae,Ericaceae,7.0
