1.333	0.977
2.667	0.901
5.333	0.831
8.889	0.776
12.444	0.734
16.889	0.721
21.333	0.741
26.222	0.727
32.000	0.741
36.000	0.714
40.889	0.700
48.889	0.637
58.222	0.610
68.000	0.630
76.889	0.575
86.667	0.575
94.667	0.637
103.111	0.679
110.222	0.762
113.778	0.818
119.556	0.935
125.333	1.025
129.333	1.067
136.444	0.991
143.556	0.887
152.444	0.915
159.111	0.998
167.556	1.005
171.556	1.032
172.889	0.956
176.000	0.963
180.000	0.824
181.778	0.748
187.556	0.686
189.333	0.748
197.333	0.644
202.667	0.533
206.667	0.492
207.111	0.582
210.222	0.547
