1.333	0.956
4.889	0.873
12.889	0.797
18.222	0.790
23.556	0.797
29.333	0.818
35.111	0.873
41.333	0.921
45.333	0.915
51.111	0.831
56.444	0.714
60.444	0.714
71.111	0.908
81.333	0.942
90.667	0.894
101.778	1.053
102.222	1.109
110.667	1.282
119.556	1.490
120.444	1.531
123.111	1.649
128.444	1.829
133.778	1.995
140.444	2.141
143.111	2.196
145.778	2.286
147.111	2.390
152.444	2.425
156.444	2.453
158.667	2.626
159.556	2.418
164.444	2.376
167.111	2.432
168.000	2.543
171.111	2.598
173.778	2.543
175.556	2.501
179.556	2.460
186.222	2.252
190.222	2.446
191.556	2.252
194.222	2.085
197.778	1.850
202.222	1.663
201.778	1.767
205.778	1.642
207.111	2.030
210.222	1.878
211.556	1.995
212.889	1.843
