1.333	0.873
4.889	0.838
9.333	0.797
18.222	0.755
27.111	0.797
34.667	0.880
37.778	0.921
47.111	0.873
50.222	0.818
54.667	0.783
58.222	0.741
67.556	0.727
75.556	0.804
85.333	0.824
94.222	0.769
102.222	0.859
108.000	0.963
115.111	1.088
120.444	1.212
124.000	1.330
129.333	1.427
137.333	1.510
143.111	1.587
146.222	1.739
150.222	1.885
155.111	1.975
159.556	2.009
159.556	1.933
162.667	1.878
168.000	1.753
167.556	1.607
174.667	1.628
180.000	1.497
186.222	1.406
189.333	1.559
191.556	1.621
193.333	1.545
194.222	1.386
194.222	1.386
197.778	1.254
200.000	1.192
202.667	1.143
204.000	1.074
204.000	1.074
207.556	1.157
210.222	1.102
211.556	1.129
