,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Siphonodon,Celastraceae_10,0.84039257,0.8706475,0.88319218,0.87227338,0.88380743,0.88566833,0.66053599,0.88720735,0.85895784,1,0.7644365,0.88269606,0.32325494,0.43238892,0.36203517,0.34599785,0.34687574,0.36720458,0.36275696,0.45902037,0.43512136,0.43783763,0.4458207,0.31621053,0.26867086,0.33465196,0.32541491,0,0,0,0,0.42075443,0.42288813,0.39306686,0.34974942,0.4467548,0.46722998,0.44984077,0.45676193,0.43869995,0.43695565,0.44465919,0.45181746,0.46443397,0.46335596,0.46377728,0.46094051,0.46087726,0.45834897,0.45775067,0.44980824,0.45425758,0.404462099,0.41401187,0.40415422,0.34500015,0.42229149,0.42010707,0.44348769,0.44084584,0.4191776,0.4061735
Stackhousia,Celastraceae_11,0.72184993,0.74405876,0.78755931,0.74524589,0.75364901,0.75500174,0.57086906,0.75611985,0.73550454,0.7644365,1,0.75284073,0.27367933,0.36537426,0.31383876,0.3017157,0.30238304,0.31771604,0.31438102,0.38421055,0.36732343,0.3692573,0.37491922,0.26861302,0.233513699,0.2818047,0.275225997,0,0,0,0,0.36133772,0.36291022,0.34072626,0.30769224,0.38034742,0.39508757,0.38258186,0.38757659,0.37449352,0.373221698,0.37882745,0.3840107,0.39308648,0.39231397,0.39261595,0.39058103,0.39053561,0.38871867,0.38828826,0.38255834,0.38577195,0.34200124,0.34880442,0.34178109,0.29849892,0.35466288,0.35312081,0.373267896,0.37139465,0.35246389,0.34322408
Tripterygium,Celastraceae_12,0.94118932,0.91723767,0.87247127,0.91899065,0.9430093,0.93343863,0.67476134,0.94672339,0.90463863,0.88269606,0.75284073,1,0.33131017,0.44330204,0.36965458,0.35295068,0.35386425,0.37504549,0.3704071,0.47133834,0.44617459,0.44903107,0.45743146,0.32391432,0.27421208,0.3432928,0.3335795,0,0,0,0,0.43025027,0.43248162,0.40134179,0.35628583,0.45747544,0.47896872,0.46071183,0.46797425,0.44903302,0.44720576,0.45527829,0.46278543,0.47603089,0.47489844,0.47534102,0.47236148,0.47229505,0.46964031,0.46901218,0.46067771,0.46534579,0.41462584,0.42466755,0.4143023,0.3523679,0.43338334,0.43108298,0.45497568,0.45219562,0.43010436,0.41642453
Arbutus,Ericaceae_13,0.31428183,0.3264476,0.31932482,0.32710318,0.3317592,0.33251127,0.29965386,0.33313344,0.32173955,0.32325494,0.27367933,0.33131017,1,0.35401035,0.29252585,0.27873512,0.27948791,0.29698867,0.29314846,0.37771258,0.35643127,0.35884035,0.3659349,0.46392946,0.38957713,0.49324726,0.47852871,0,0,0,0,0.31472267,0.31643507,0.29261568,0.25844739,0.33567555,0.35230913,0.33817497,0.34379035,0.32916425,0.32775661,0.33397977,0.33977735,0.35003073,0.34915289,0.34949593,0.34718712,0.34713566,0.34507988,0.34459365,0.33814861,0.34175693,0.35238187,0.36139502,0.35209187,0.29702978,0.36923747,0.36716585,0.36385934,0.36151123,0.36628493,0.35399457
Albizia,Fabaceae_14,0.420240295,0.43671349,0.42706693,0.43760162,0.44391059,0.44492986,0.40045369,0.44577313,0.43033666,0.43238892,0.36537426,0.44330204,0.35401035,1,0.62031885,0.59075946,0.59237219,0.62989132,0.62165412,0.54628254,0.51507793,0.51860775,0.52900666,0.34557921,0.289580697,0.36772524,0.35660254,0,0,0,0,0.42083695,0.42315479,0.39094144,0.34483579,0.44921905,0.47178321,0.45260775,0.46022349,0.44039411,0.43848688,0.44692029,0.45478061,0.46869075,0.46749939,0.46796494,0.46483188,0.46476206,0.46197285,0.46131321,0.45257202,0.45746532,0.44329038,0.45478777,0.44292058,0.3728578,0.46479833,0.46215341,0.52596379,0.52252195,0.46102883,0.44534698
Cicer,Fabaceae_15,0.353479197,0.36506201,0.35829667,0.36568241,0.37007763,0.37078577,0.33937448,0.37137123,0.36059531,0.36203517,0.31383876,0.36965458,0.29252585,0.62031885,1,0.63807244,0.687037295,0.85693828,0.84740928,0.44501984,0.424089996,0.426479995,0.43348749,0.28674512,0.24709698,0.30182785,0.29429356,0,0,0,0,0.35390124,0.35553896,0.33251781,0.29856443,0.37375977,0.38924933,0.37610267,0.38134648,0.3676304,0.36630039,0.37216706,0.37760182,0.387141799,0.38632859,0.38664646,0.38450516,0.38445739,0.382546799,0.38209438,0.37607799,0.37945078,0.36572765,0.37351826,0.365475896,0.31641514,0.38024431,0.37847233,0.43144216,0.42912351,0.37771779,0.36712638
Glycine,Fabaceae_16,0.33817491,0.34876143,0.34258166,0.34932763,0.35333634,0.3539818,0.32524277,0.35451536,0.34468249,0.34599785,0.3017157,0.35295068,0.27873512,0.59075946,0.63807244,1,0.6144228,0.64608312,0.63919259,0.42269906,0.40377146,0.40593735,0.41228101,0.27348169,0.23718444,0.28716809,0.28033962,0,0,0,0,0.33856118,0.340059697,0.31893994,0.28757203,0.35669136,0.37077186,0.35882455,0.36359457,0.35110485,0.34989153,0.35524052,0.36018888,0.36885918,0.36812089,0.36840949,0.36646492,0.36642152,0.36468558,0.364274399,0.35880209,0.36187086,0.34836388,0.35542516,0.34813546,0.30333441,0.36151007,0.35990803,0.41043047,0.40833161,0.35922563,0.34963273
Lotus,Fabaceae_17,0.3390135,0.34965342,0.34344228,0.35022252,0.35425191,0.35490073,0.32601838,0.35543706,0.34555371,0.34687574,0.30238304,0.35386425,0.27948791,0.59237219,0.687037295,0.6144228,1,0.69568311,0.68824622,0.42391382,0.40487973,0.40705756,0.41343655,0.27420633,0.2377293,0.28796718,0.28110111,0,0,0,0,0.33940169,0.34090768,0.31968574,0.28817821,0.35762443,0.37178015,0.35976882,0.36456415,0.35200888,0.35078931,0.356166,0.36114036,0.36985708,0.369114796,0.36940496,0.36744989,0.36740626,0.365661,0.36524762,0.35974624,0.36283126,0.349311395,0.35641153,0.34908173,0.30405255,0.36253055,0.36091947,0.41157565,0.40946509,0.36023324,0.35058716
Medicago,Fabaceae_18,0.35840549,0.37031884,0.36335912,0.37095726,0.37548097,0.37620996,0.34391295,0.37681268,0.36572339,0.36720458,0.31771604,0.37504549,0.29698867,0.62989132,0.85693828,0.64608312,0.69568311,1,0.88782572,0.45227343,0.43067229,0.43313727,0.4403671,0.291032,0.25027377,0.30658132,0.29881089,0,0,0,0,0.35883939,0.36052323,0.33687356,0.30207138,0.37927197,0.39523153,0.3816847,0.38708644,0.372962,0.37159321,0.37763204,0.38322878,0.39305891,0.39222068,0.39254832,0.39034134,0.39029211,0.38832323,0.38785705,0.38165929,0.38513339,0.37134934,0.37938393,0.37108979,0.32061434,0.38632485,0.38449588,0.43825649,0.43586422,0.38371716,0.37279149
Pisum,Fabaceae_19,0.35416724,0.36579593,0.35900362,0.36641883,0.37083187,0.37154291,0.34000866,0.37213076,0.36131136,0.36275696,0.31438102,0.3704071,0.29314846,0.62165412,0.84740928,0.63919259,0.68824622,0.88782572,1,0.4460309,0.42500809,0.42740848,0.43444677,0.28734334,0.24754108,0.30249074,0.29492373,0,0,0,0,0.35459093,0.35623505,0.333126596,0.29905515,0.37452911,0.39008383,0.37688169,0.3821474,0.36837469,0.36703931,0.37292986,0.37838708,0.38796728,0.38715061,0.38746983,0.38531943,0.38527145,0.38335278,0.38289845,0.37685691,0.38024376,0.36651186,0.37433628,0.36625903,0.31700196,0.38109209,0.37931221,0.432392397,0.43006355,0.37855433,0.36791661
