,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Glycine,Fabaceae_16,28,672,29,28,662,32,710,26,29,36,42,26,25,387,487,0,495,9,6,572,628,32,28,679,327,0,32,448,493,576,548,37,30,275,871,31,29,27,28,27,656,33,30,34,32,33,31,32,646,33,32,34,646,488,677,748,638,614,26,577,624,634
Lotus,Fabaceae_17,498,1415,684,515,1403,661,1152,556,469,538,587,552,886,859,707,495,0,394,432,1310,1401,731,776,1546,1040,848,888,959,1077,1257,1446,671,684,930,1600,737,634,394,740,758,1267,649,627,625,602,666,643,647,1251,638,640,647,1475,1303,1276,1292,1133,1188,615,1325,1446,1376
Medicago,Fabaceae_18,757,915,656,717,883,652,852,706,638,676,1012,682,886,436,156,9,394,0,191,805,895,878,691,796,1052,676,970,904,987,761,1091,786,767,827,885,726,780,309,617,652,850,655,706,644,603,770,724,656,822,635,733,669,833,924,660,732,395,651,629,862,778,772
Pisum,Fabaceae_19,619,963,593,599,962,591,866,650,565,623,684,628,816,553,145,6,432,191,0,879,973,661,802,801,1173,856,804,697,721,654,898,613,606,768,693,663,553,259,575,591,837,594,566,579,544,615,579,598,846,582,590,608,758,757,724,777,417,717,686,914,949,894
Alnus,Betulaceae_20,622,1716,713,583,1640,659,1652,556,516,576,942,548,1034,1148,968,572,1310,805,879,0,879,495,452,1530,1647,1143,1144,1094,1196,1517,1884,748,797,1172,1603,673,757,345,590,610,1518,633,684,573,568,705,657,589,1376,595,654,601,1283,1288,1435,1657,952,1339,692,1350,1491,1564
Quercus,Fagaceae_21,704,1917,797,663,1873,752,1789,618,571,618,1000,611,1194,1323,1053,628,1401,895,973,879,0,81,401,1534,1539,1131,1139,1167,1275,1629,2040,818,882,1302,1692,750,827,378,645,669,1658,697,752,642,640,772,746,647,1511,663,723,666,1454,1457,1613,1788,1071,1528,659,1602,1579,1712
Chrysolepis,Fagaceae_22,696,1050,797,658,1003,744,865,611,569,626,1002,611,1043,679,474,32,731,878,661,495,81,0,341,880,950,776,1009,795,850,978,1403,821,827,895,974,752,819,379,649,675,927,693,752,640,641,754,743,643,822,662,726,662,879,1001,769,935,567,751,608,904,825,912
Fagus,Fagaceae_23,605,944,776,580,917,721,796,599,548,596,725,584,956,665,448,28,776,691,802,452,401,341,0,898,1021,846,884,635,698,878,1166,707,713,866,857,712,673,375,626,652,838,666,650,621,601,690,626,630,792,638,632,641,794,852,751,898,512,709,561,832,843,897
Coffea,Rubiaceae_24,604,1495,791,574,1507,754,1246,609,531,580,680,597,879,1217,1131,679,1546,796,801,1530,1534,880,898,0,781,407,618,915,1051,1342,1498,770,799,1038,1634,821,682,429,711,747,1271,787,720,724,706,742,750,740,1232,740,734,747,1426,1323,1270,1378,980,1212,818,1427,1531,1380
Galium,Rubiaceae_25,902,1544,785,851,1530,763,1527,811,715,797,911,797,950,1210,866,327,1040,1052,1173,1647,1539,950,1021,781,0,739,803,1261,1331,1257,1514,902,974,1222,1279,846,804,363,709,718,1434,765,852,735,696,767,860,731,1322,737,814,767,1263,1258,1254,1416,750,1250,1036,1522,1637,1458
