,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Siphonodon,Celastraceae_10,0.23922734,0.66134032,0.16947705,0.23984948,0.669881498,0.16890738,0.67148183,0.04424779,0.08872873,0,0.35691427,0.05224057,0.47073561,0.79109308,0.69051421,0.92306433,0.72360069,0.511522396,0.48510746,0.68335096,0.67573959,0.51567259,0.38147854,0.64094247,0.619864196,0.79220779,0.61797422,0.61555115,0.58134297,0.74810586,0.61503806,0.42098722,0.42780466,0.61522445,0.55133292,0.26739223,0.43301472,0.53971554,0.43871243,0.44518059,0.65296021,0.30562606,0.32427907,0.29570696,0.327964395,0.33526111,0.39389186,0.30269296,0.62588391,0.30441239,0.43103141,0.29658933,0.61910878,0.601028197,0.752,0.65433051,0.72801463,0.76256996,0.27310332,0.66227283,0.680906999,0.66717156
Stackhousia,Celastraceae_11,0.29299785,0.51973217,0.350864197,0.294608896,0.53061941,0.35255408,0.52316154,0.35911044,0.33786492,0.35691427,0,0.36244836,0.50776053,0.76901768,0.76188049,0.93910487,0.78290478,0.40444232,0.61097836,0.56861252,0.55938763,0.34432885,0.51908542,0.70879459,0.64233908,0.78162366,0.49845041,0.50834729,0.47187089,0.61132175,0.49421344,0.44315528,0.45067684,0.61109293,0.55492424,0.46769304,0.18176852,0.65280408,0.59368522,0.59744613,0.53998588,0.45481977,0.36022942,0.44985202,0.47382178,0.24267516,0.41920137,0.45386187,0.46432458,0.45680927,0.45178896,0.45237704,0.63396338,0.46065199,0.62860945,0.67012798,0.78277932,0.64755083,0.45512403,0.54480585,0.68968428,0.57490653
Tripterygium,Celastraceae_12,0.21928336,0.66183469,0.16627282,0.23331012,0.66446626,0.15688803,0.67486721,0.02298714,0.08883369,0.05224057,0.36244836,0,0.47720471,0.7959892,0.69671804,0.92635722,0.71891145,0.51838791,0.498694297,0.68069296,0.674546,0.51888529,0.38720699,0.64418833,0.63014954,0.78889222,0.62463964,0.62873893,0.58604734,0.74469109,0.62047538,0.42782315,0.43031267,0.61985294,0.55735079,0.27420389,0.43522252,0.54035628,0.44376802,0.44585167,0.65459398,0.31450333,0.32771152,0.29634801,0.33799386,0.33929961,0.39251903,0.30217438,0.62922435,0.30583093,0.43910056,0.3012449,0.62322725,0.60340974,0.75888683,0.65350062,0.73147887,0.75901986,0.282808398,0.66504642,0.6845294,0.66971332
Arbutus,Ericaceae_13,0.39184582,0.45563956,0.44805511,0.39259878,0.46206331,0.44418928,0.53129884,0.47263612,0.49523346,0.47073561,0.50776053,0.47720471,0,0.54241682,0.77303632,0.94743533,0.71160675,0.35099255,0.55993161,0.47095505,0.44806088,0.27565597,0.355367698,0.53010263,0.443868196,0.55577923,0.29139385,0.46815202,0.43274823,0.51313548,0.35212137,0.37762773,0.43228014,0.42926747,0.54342171,0.47942057,0.43449925,0.66657319,0.5801976,0.58795096,0.49442263,0.49432412,0.36129077,0.49724911,0.50999373,0.50900173,0.40310563,0.49404389,0.56065167,0.49557584,0.38059545,0.49878125,0.34195039,0.32521126,0.54320934,0.48170029,0.73679727,0.54714989,0.46682781,0.44442037,0.44425338,0.45262927
Albizia,Fabaceae_14,0.73711862,0.34935842,0.77568427,0.73581081,0.34476926,0.77339308,0.43113514,0.79323816,0.81015888,0.79109308,0.76901768,0.7959892,0.54241682,0,0.68899926,0.77806268,0.68641115,0.61301225,0.64712761,0.35833089,0.334981299,0.59247193,0.61133778,0.53980376,0.46725992,0.59916256,0.55599509,0.54498631,0.52349577,0.47062842,0.478038099,0.68191372,0.68233468,0.46614739,0.58944842,0.75584364,0.71637067,0.89716632,0.83513514,0.83829276,0.38984031,0.76734061,0.70856615,0.77191842,0.76339172,0.77161931,0.70354071,0.76842211,0.49070088,0.76812466,0.69630554,0.77192456,0.3947884,0.48162718,0.4290071,0.38913898,0.64725269,0.36175317,0.74128892,0.33186224,0.30021292,0.33956373
Cicer,Fabaceae_15,0.72706323,0.69548708,0.712443095,0.72853226,0.69707775,0.71194539,0.7009211,0.69146556,0.71498241,0.69051421,0.76188049,0.69671804,0.77303632,0.68899926,0,0.49077578,0.44640806,0.73434614,0.73674113,0.69407323,0.69241682,0.78756743,0.74617401,0.59426389,0.73529257,0.86731968,0.79243254,0.72233141,0.67641784,0.74386595,0.71555857,0.73320619,0.73740276,0.71021038,0.51438638,0.66674823,0.77512807,0.72189069,0.61090599,0.61684989,0.66755891,0.68940929,0.73326833,0.69151273,0.68020937,0.75236755,0.72441117,0.69351049,0.63915733,0.69580335,0.72506661,0.6916558,0.56660568,0.695713796,0.69029007,0.68123275,0.40958941,0.76711276,0.71226709,0.67713711,0.64108874,0.69646643
Glycine,Fabaceae_16,0.93136455,0.81927497,0.92797372,0.93154253,0.81834285,0.9273979,0.8045826,0.92375654,0.91989511,0.92306433,0.93910487,0.92635722,0.94743533,0.77806268,0.49077578,0,0.66901607,0.94241648,0.93058537,0.82598875,0.82533995,0.95177691,0.94221274,0.76175842,0.89358771,1,0.95159223,0.844451,0.84693648,0.85853659,0.86370909,0.93180828,0.93207602,0.87075268,0.71246877,0.92392458,0.94343373,0.89634618,0.91091736,0.91184023,0.80057508,0.92124603,0.9323319,0.92308339,0.91909496,0.938430399,0.93022559,0.92210403,0.7837105,0.92327666,0.93008961,0.92193027,0.75410514,0.84972089,0.79846525,0.78507155,0.59375926,0.845301997,0.93443874,0.81777583,0.79467812,0.8144972
Lotus,Fabaceae_17,0.75036227,0.65287887,0.69675142,0.75011566,0.65190149,0.69511054,0.70707384,0.72096727,0.74583002,0.72360069,0.78290478,0.71891145,0.71160675,0.68641115,0.44640806,0.66901607,0,0.76269596,0.71218806,0.63893162,0.63370806,0.75398943,0.67574182,0.46189799,0.73538709,0.70860807,0.75434959,0.74137121,0.70169509,0.73952594,0.67100381,0.72037756,0.71237571,0.70489205,0.52347971,0.64973406,0.75691577,0.69579518,0.59477705,0.59978665,0.6628603,0.66822825,0.72429691,0.66903146,0.68892471,0.73043371,0.69944367,0.66682084,0.63575606,0.66702644,0.70797974,0.67282952,0.51179204,0.64826375,0.64030708,0.65144833,0.53611782,0.65966804,0.69679626,0.63228739,0.59697178,0.65540451
Medicago,Fabaceae_18,0.42958912,0.49830332,0.54165808,0.42151331,0.50483801,0.54134048,0.49589142,0.51508171,0.53582757,0.511522396,0.40444232,0.51838791,0.35099255,0.61301225,0.73434614,0.94241648,0.76269596,0,0.58089693,0.50465911,0.49079728,0.24103573,0.5130492,0.64206491,0.44799035,0.67731715,0.28147136,0.36677247,0.32838832,0.52238489,0.4154757,0.38145085,0.44760772,0.43785196,0.54642155,0.48864968,0.37657857,0.68904542,0.60256692,0.60826179,0.49591281,0.51247726,0.44868421,0.50813664,0.52892321,0.46119345,0.41822549,0.51319434,0.52915746,0.51423578,0.39594169,0.51070224,0.45835102,0.38109566,0.58493597,0.56815096,0.83083678,0.59954474,0.55147338,0.48766101,0.54105149,0.51277713
Pisum,Fabaceae_19,0.55524528,0.62261195,0.52780876,0.55063675,0.62371984,0.52654656,0.64746533,0.49477587,0.52146465,0.48510746,0.61097836,0.498694297,0.55993161,0.64712761,0.73674113,0.93058537,0.71218806,0.58089693,0,0.62303953,0.61585418,0.65058299,0.39726428,0.64583096,0.51385715,0.61785189,0.62033767,0.68483652,0.68048831,0.77334374,0.67286228,0.56664212,0.56697477,0.57500295,0.64949319,0.4657687,0.633712399,0.67943672,0.57706093,0.58180227,0.65043305,0.49232867,0.574278898,0.48749463,0.51414934,0.59818509,0.54519084,0.49118754,0.62175513,0.48976796,0.5537246,0.49084658,0.62156216,0.660505699,0.68747239,0.64223779,0.78802351,0.71458223,0.45523251,0.60570806,0.56260687,0.6221421
