,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Siphonodon,Celastraceae_10,0.07096931,0.05551779,0.05117365,0.05471778,0.04912702,0.04823865,0.15781311,0.04750675,0.06135879,0,0.11923296,0.04965936,0.27279991,0.22597694,0.30334287,0.32538206,0.324122896,0.29664912,0.30239678,0.20287885,0.22347687,0.22102251,0.21398232,0.28178013,0.35469625,0.25907159,0.27012426,0.277422398,0.27893309,0.34848196,0.33751274,0.25722465,0.25498409,0.28850476,0.34737799,0.23138062,0.21305299,0.22851154,0.22221781,0.23905953,0.2407597,0.23335165,0.22669438,0.21546047,0.21639644,0.21603012,0.21850953,0.21856516,0.22080142,0.22133424,0.22854158,0.22447299,0.23810819,0.22888577,0.23841276,0.30701859,0.22122754,0.223218698,0.21601356,0.21833966,0.22407223,0.23642355
Stackhousia,Celastraceae_11,0.14398987,0.12853835,0.10858307,0.12773834,0.12214758,0.12125921,0.23083368,0.12052732,0.13437935,0.11923296,0,0.12267992,0.34582047,0.298997499,0.37636343,0.39840262,0.39714346,0.36966968,0.37541734,0.27589941,0.29649743,0.29404307,0.28700288,0.35480069,0.42771682,0.33209216,0.34314482,0.35044296,0.35195365,0.42150252,0.4105333,0.33024521,0.32800465,0.36152532,0.42039855,0.30440118,0.28607355,0.30153211,0.29523837,0.31208009,0.31378026,0.30637221,0.29971494,0.28848103,0.289416998,0.28905068,0.29153009,0.29158572,0.29382198,0.294354797,0.30156214,0.29749355,0.31112875,0.30190633,0.31143333,0.38003915,0.2942481,0.29623926,0.28903412,0.29136022,0.29709279,0.30944411
Tripterygium,Celastraceae_12,0.02557373,0.03471026,0.05462061,0.03391025,0.0235375,0.02743112,0.1480123,0.02191724,0.04055126,0.04965936,0.12267992,0,0.26299909,0.21617612,0.29354205,0.31558124,0.31432208,0.2868483,0.29259597,0.19307803,0.21367605,0.211221696,0.2041815,0.27197932,0.34489544,0.24927078,0.26032344,0.26762158,0.26913228,0.33868115,0.32771193,0.24742383,0.24518327,0.27870395,0.33757717,0.22157981,0.20325217,0.21871073,0.21241699,0.22925871,0.23095889,0.22355084,0.21689356,0.20565965,0.20659562,0.2062293,0.20870871,0.20876434,0.21100061,0.21153342,0.21874076,0.21467217,0.22830737,0.21908495,0.22861195,0.29721777,0.21142673,0.21341788,0.20621275,0.20853884,0.21427142,0.22662274
Arbutus,Ericaceae_13,0.28430905,0.26885752,0.27776117,0.26805752,0.26246675,0.26157839,0.30454898,0.26084649,0.27469853,0.27279991,0.34582047,0.26299909,0,0.23777921,0.31514514,0.33718433,0.33592517,0.30845139,0.31419906,0.21468112,0.23527914,0.23282479,0.22578459,0.20480679,0.27772292,0.18209826,0.19315092,0.24738825,0.24889894,0.31844781,0.307478595,0.28372828,0.28148772,0.31500839,0.37388162,0.25788425,0.23955662,0.25501518,0.24872144,0.26556316,0.26726333,0.25985528,0.25319801,0.241964099,0.24290007,0.24253375,0.24501316,0.24506879,0.24730505,0.24783787,0.25504521,0.25097662,0.23948026,0.23025784,0.23978484,0.30839067,0.22259962,0.22459078,0.22781584,0.23014193,0.22544431,0.23779563
Albizia,Fabaceae_14,0.23748608,0.22203455,0.230938195,0.22123455,0.21564378,0.21475542,0.25772601,0.21402352,0.22787556,0.22597694,0.298997499,0.21617612,0.23777921,0,0.16723609,0.18927528,0.18801612,0.16054234,0.16629001,0.15426418,0.1748622,0.17240784,0.16536765,0.24675944,0.31967556,0.2240509,0.23510356,0.24240171,0.243912396,0.31346127,0.30249205,0.23690531,0.23466475,0.26818542,0.32705865,0.21106128,0.19273365,0.20819221,0.20189847,0.21874019,0.22044036,0.21303231,0.20637504,0.19514113,0.196077098,0.19571078,0.19819019,0.19824582,0.20048208,0.201014897,0.20822224,0.20415365,0.20308749,0.19386507,0.20339207,0.27199789,0.18620685,0.188198,0.167398896,0.16972499,0.18905154,0.20140286
Cicer,Fabaceae_15,0.314852,0.29940048,0.30830412,0.29860048,0.29300971,0.29212134,0.33509194,0.29138945,0.30524148,0.30334287,0.37636343,0.29354205,0.31514514,0.16723609,0,0.19539371,0.168565,0.073124098,0.07887176,0.23163011,0.25222813,0.24977377,0.24273358,0.32412536,0.39704149,0.30141683,0.31246949,0.31976763,0.32127832,0.39082719,0.37985798,0.31427124,0.31203068,0.34555135,0.40442458,0.28842721,0.27009958,0.28555814,0.279264396,0.29610612,0.29780629,0.29039824,0.28374097,0.27250706,0.27344303,0.27307671,0.27555612,0.27561175,0.27784801,0.27838083,0.28558817,0.28151958,0.28045342,0.271231,0.280757997,0.34936382,0.26357277,0.26556393,0.24476482,0.24709092,0.26641746,0.27876879
Glycine,Fabaceae_16,0.336891196,0.32143968,0.33034332,0.32063967,0.31504891,0.31416054,0.35713113,0.31342864,0.32728068,0.32538206,0.39840262,0.31558124,0.33718433,0.18927528,0.19539371,0,0.21617374,0.18869996,0.19444763,0.2536693,0.27426732,0.27181297,0.26477277,0.34616456,0.41908068,0.32345602,0.33450868,0.34180683,0.34331752,0.41286639,0.40189717,0.33631043,0.33406987,0.36759054,0.42646377,0.3104664,0.29213877,0.30759733,0.30130359,0.31814531,0.31984548,0.31243743,0.30578016,0.29454625,0.29548222,0.295115899,0.29759531,0.29765094,0.2998872,0.30042002,0.30762736,0.30355877,0.30249261,0.29327019,0.30279719,0.37140301,0.28561197,0.28760313,0.26680402,0.26913011,0.28845666,0.30080798
Lotus,Fabaceae_17,0.33563204,0.32018051,0.32908416,0.31938051,0.31378974,0.31290138,0.35587197,0.31216948,0.32602152,0.324122896,0.39714346,0.31432208,0.33592517,0.18801612,0.168565,0.21617374,0,0.16187126,0.16761892,0.25241014,0.27300816,0.2705538,0.26351361,0.344905395,0.41782152,0.32219686,0.33324952,0.34054766,0.34205836,0.41160723,0.40063801,0.33505127,0.33281071,0.36633138,0.42520461,0.30920724,0.29087961,0.30633817,0.30004443,0.31688615,0.31858632,0.31117827,0.304520999,0.29328709,0.29422306,0.29385674,0.29633615,0.29639178,0.29862804,0.29916086,0.3063682,0.30229961,0.30123345,0.29201103,0.30153803,0.37014385,0.28435281,0.28634396,0.26554486,0.26787095,0.287197495,0.29954882
Medicago,Fabaceae_18,0.30815826,0.29270673,0.30161037,0.29190673,0.28631596,0.28542759,0.32839819,0.2846957,0.29854774,0.29664912,0.36966968,0.2868483,0.30845139,0.16054234,0.073124098,0.18869996,0.16187126,0,0.05723027,0.22493636,0.24553438,0.24308002,0.23603983,0.31743161,0.39034774,0.29472308,0.30577574,0.31307388,0.31458458,0.38413345,0.37316423,0.30757749,0.30533693,0.3388576,0.39773083,0.28173346,0.26340583,0.27886439,0.27257065,0.28941237,0.29111254,0.28370449,0.27704722,0.26581331,0.26674928,0.26638296,0.26886237,0.268917997,0.27115426,0.27168708,0.27889442,0.27482583,0.27375967,0.26453725,0.27406425,0.34267007,0.25687903,0.25887018,0.23807108,0.24039717,0.25972371,0.27207504
Pisum,Fabaceae_19,0.31390592,0.298454398,0.30735804,0.29765439,0.29206363,0.29117526,0.33414585,0.29044336,0.304295399,0.30239678,0.37541734,0.29259597,0.31419906,0.16629001,0.07887176,0.19444763,0.16761892,0.05723027,0,0.23068403,0.25128205,0.24882769,0.24178749,0.32317928,0.3960954,0.30047074,0.31152341,0.31882155,0.32033224,0.38988111,0.37891189,0.31332515,0.31108459,0.34460526,0.40347849,0.28748112,0.26915349,0.28461205,0.27831831,0.29516003,0.29686021,0.28945215,0.28279488,0.27156097,0.27249694,0.27213062,0.27461003,0.27466566,0.27690193,0.27743474,0.28464208,0.28057349,0.27950734,0.27028492,0.27981191,0.34841774,0.26262669,0.26461785,0.24381874,0.24614483,0.26547138,0.2778227
