,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Siphonodon,Celastraceae_10,0.02982112,0.02458178,0.02056871,0.02446288,0.02161211,0.020048198,0.04886452,0.02245203,0.0253715,0,0.04463058,0.02188693,0.08578817,0.08531902,0.10644968,0.03792771,0.13530742,0.09698857,0.0995119,0.07542333,0.08026387,0.0802945,0.07504662,0.09638936,0.11708594,0.12721523,0.08595331,0.08808857,0.08919069,0.09992475,0.10656921,0.08011661,0.07791315,0.08530468,0.09617408,0.07870145,0.06425249,0.05951057,0.08327166,0.09301786,0.07248729,0.07523863,0.07000328,0.06885161,0.06836415,0.07413425,0.07084233,0.06990484,0.07166781,0.07157316,0.07200908,0.07148406,0.08413608,0.07845541,0.07765476,0.08089174,0.09451209,0.07928533,0.07503716,0.07719435,0.07447662,0.07326684
Stackhousia,Celastraceae_11,0.05382847,0.05095509,0.04521014,0.04892271,0.0470118,0.04702101,0.07738968,0.04721086,0.05010684,0.04463058,0,0.04644531,0.09821012,0.09235999,0.12281165,0.04455946,0.15255644,0.11216475,0.11315866,0.09001883,0.09503581,0.094401199,0.0934215,0.1162332,0.12434144,0.13585882,0.10822807,0.09853364,0.10188014,0.09964303,0.12173281,0.09790158,0.09998162,0.106019298,0.11770213,0.09731841,0.08678143,0.07610022,0.1038019,0.10722793,0.09080692,0.09683251,0.08939626,0.09479895,0.09392229,0.09027154,0.09134721,0.09419256,0.09376834,0.09506341,0.09644681,0.09955809,0.09482166,0.09250208,0.09795201,0.08386299,0.115521995,0.09272536,0.08885115,0.09377304,0.08714858,0.07819086
Tripterygium,Celastraceae_12,0.011339997,0.0172099,0.02111479,0.01678473,0.01199352,0.01143382,0.04850296,0.01008902,0.01821007,0.02188693,0.04644531,0,0.08967245,0.08221171,0.10928258,0.02871782,0.13766353,0.09912945,0.10248859,0.07146099,0.07930906,0.07894226,0.07420217,0.10022674,0.11971762,0.133570899,0.09178294,0.09441291,0.09387804,0.10154251,0.11185632,0.08146162,0.081455097,0.08816442,0.10131085,0.08123224,0.06608192,0.05919888,0.08436022,0.09238273,0.07238133,0.07813905,0.06923269,0.07250507,0.07114871,0.075203598,0.07282983,0.07078267,0.07258955,0.0745452,0.07574907,0.07618913,0.08433025,0.07837465,0.08296989,0.08460933,0.09350477,0.08054932,0.07253371,0.07633283,0.077172295,0.07449822
Arbutus,Ericaceae_13,0.085576499,0.09231391,0.10811762,0.08169913,0.09239112,0.10166759,0.08153417,0.08977189,0.08403688,0.08578817,0.09821012,0.08967245,0,0.09418736,0.11846212,0.02614073,0.1632234,0.083531899,0.10983461,0.08002029,0.09076829,0.08411171,0.09189564,0.09635797,0.08738539,0.09546516,0.07822442,0.07215738,0.07431444,0.11395432,0.10739545,0.09677839,0.10219506,0.09437767,0.11845144,0.10784402,0.08627785,0.09344797,0.11466837,0.12538731,0.08402446,0.10456915,0.08962628,0.09698121,0.09689287,0.09664744,0.09350188,0.09838418,0.08951748,0.10030879,0.08968194,0.09881382,0.08523945,0.08442744,0.09040453,0.090212,0.11763243,0.08619072,0.08549412,0.086510598,0.08281467,0.08131255
Albizia,Fabaceae_14,0.07935801,0.092190097,0.11318666,0.07283668,0.09017682,0.10315116,0.09024871,0.08546371,0.07431321,0.08531902,0.09235999,0.08221171,0.09418736,0,0.10739324,0.09686713,0.13359867,0.05204675,0.07781072,0.07347294,0.08369782,0.07191225,0.080330995,0.12385939,0.10517239,0.11142075,0.09313104,0.08759534,0.08914939,0.11892652,0.11756891,0.09520943,0.107063596,0.09822275,0.14838117,0.11351704,0.08809554,0.09995226,0.13476746,0.14692048,0.09138252,0.111292595,0.09534497,0.10458091,0.10506674,0.10056974,0.09764807,0.10779929,0.09304688,0.10774402,0.09291997,0.10642733,0.09328653,0.08720298,0.09096417,0.10400379,0.11670183,0.08451879,0.08245091,0.07871177,0.08750796,0.08837708
Cicer,Fabaceae_15,0.0988901,0.14135959,0.10211799,0.10298159,0.14040492,0.09998047,0.14800033,0.11012517,0.09730619,0.10644968,0.12281165,0.10928258,0.11846212,0.10739324,0,0.10990173,0.10947723,0.03460074,0.03728441,0.12983616,0.1419903,0.11127133,0.10461499,0.17307917,0.16562818,0.17465005,0.1248379,0.17416166,0.16922068,0.20355824,0.17734618,0.11367536,0.10997766,0.12501263,0.1824946,0.11806112,0.10129818,0.05477132,0.11286758,0.12100612,0.14178669,0.10349198,0.101255199,0.10191254,0.09885778,0.10679759,0.10001923,0.104611296,0.13552553,0.10107949,0.10335556,0.10563839,0.14253258,0.14296484,0.13540578,0.15198804,0.142510598,0.15932132,0.09962814,0.12775377,0.14029713,0.14317063
Glycine,Fabaceae_16,0.03002417,0.15817542,0.03121325,0.03017318,0.15491403,0.0341739,0.16909021,0.02770383,0.03036339,0.03792771,0.04455946,0.02871782,0.02614073,0.09686713,0.10990173,0,0.13578164,0.00928572,0.00617607,0.13530662,0.14930893,0.03379396,0.02933063,0.18249042,0.15615501,NaN,0.03358457,0.16323782,0.17344328,0.22129392,0.18604055,0.0389667,0.03170744,0.12089212,0.21661818,0.03298428,0.03061991,0.02851552,0.02957855,0.0288931,0.154427599,0.034701,0.03147034,0.0368572,0.03365498,0.03472063,0.03303722,0.03415807,0.150212096,0.03573612,0.03363485,0.03643195,0.14972235,0.15321699,0.1585058,0.17972428,0.14917047,0.18329722,0.02731197,0.13428746,0.1446455,0.14890794
Lotus,Fabaceae_17,0.12693469,0.16983839,0.155736597,0.13156273,0.16787471,0.15003989,0.16684848,0.13903715,0.12879486,0.13530742,0.15255644,0.13766353,0.1632234,0.13359867,0.10947723,0.13578164,0,0.08935682,0.09621646,0.14927837,0.15954564,0.14406077,0.14119709,0.18599416,0.18793058,0.168614899,0.17443998,0.18486691,0.17982894,0.23660044,0.20140871,0.15431455,0.15373663,0.16534438,0.21921543,0.15587721,0.14239305,0.11203813,0.15594208,0.16159896,0.16610403,0.14487228,0.14430822,0.14065974,0.14326073,0.14638799,0.14344529,0.14448651,0.16229334,0.14261073,0.14465222,0.14684728,0.17062136,0.17314837,0.1601371,0.17719556,0.18158914,0.1584797,0.12931134,0.15174482,0.16816461,0.16852298
Medicago,Fabaceae_18,0.09302523,0.07759685,0.09571639,0.08753953,0.07539484,0.09513056,0.07636893,0.10194051,0.09656065,0.09698857,0.11216475,0.09912945,0.083531899,0.05204675,0.03460074,0.00928572,0.08935682,0,0.02797243,0.0672393,0.07407233,0.07197315,0.08306413,0.11042154,0.10177021,0.10932323,0.08199566,0.08355822,0.08522186,0.08257849,0.09298213,0.09072733,0.09474524,0.08346044,0.10938698,0.10120831,0.079767296,0.07172929,0.11063103,0.11852704,0.07627649,0.09535435,0.08661312,0.09373293,0.09107932,0.09070697,0.08842245,0.095872195,0.08028117,0.09294541,0.08683114,0.0977787,0.07987254,0.07588727,0.06776031,0.07753306,0.11690059,0.06974383,0.08665904,0.07149019,0.07468918,0.0674566
Pisum,Fabaceae_19,0.10209993,0.10772811,0.09737861,0.09832901,0.10767883,0.09689476,0.10839225,0.10530091,0.09677949,0.0995119,0.11315866,0.10248859,0.10983461,0.07781072,0.03728441,0.00617607,0.09621646,0.02797243,0,0.09594296,0.10581495,0.09890871,0.09480107,0.12474604,0.13645599,0.13813143,0.11328272,0.11434525,0.11280484,0.13572978,0.12405616,0.10137289,0.1000238,0.10374951,0.11478712,0.10346299,0.09011465,0.06949482,0.11521511,0.11985677,0.10551418,0.09721814,0.09373404,0.09478774,0.09317755,0.09944363,0.09474774,0.09805716,0.10531279,0.09528133,0.09697908,0.10005116,0.10213312,0.10177411,0.0995664,0.10323727,0.1166467,0.10759963,0.094628,0.09831867,0.10290799,0.10105718
Alnus,Betulaceae_20,0.06979375,0.0828461,0.08758435,0.06567302,0.07909403,0.08059224,0.08711219,0.07222673,0.07092281,0.07542333,0.09001883,0.07146099,0.08002029,0.07347294,0.12983616,0.13530662,0.14927837,0.0672393,0.09594296,0,0.04019731,0.03317869,0.03809637,0.11978076,0.11182208,0.10450228,0.080319999,0.07804835,0.080388696,0.1080021,0.10995089,0.08283824,0.08710903,0.086498097,0.13888981,0.08830292,0.06372828,0.07336731,0.098075698,0.10171794,0.07972413,0.08601804,0.07312242,0.07839282,0.07991413,0.06643137,0.07529366,0.08000655,0.07778571,0.08094541,0.07346221,0.08248684,0.0837305,0.07333242,0.07660899,0.09802062,0.10380988,0.072888896,0.07152691,0.06370801,0.08030778,0.07678746
Quercus,Fagaceae_21,0.07875688,0.09207441,0.09757961,0.07434903,0.08925626,0.09166378,0.09475648,0.07983346,0.07786425,0.08026387,0.09503581,0.07930906,0.09076829,0.08369782,0.1419903,0.14930893,0.15954564,0.07407233,0.10581495,0.04019731,0,0.00527512,0.03329377,0.12287389,0.10793603,0.10744242,0.08220282,0.08263135,0.08492973,0.11430758,0.11728176,0.08977658,0.09620449,0.09580498,0.14560192,0.09819699,0.06934485,0.08002652,0.10722181,0.11182663,0.08737095,0.09428899,0.08031657,0.08705584,0.08981206,0.07228493,0.08507498,0.08718327,0.08500053,0.08948794,0.08114784,0.09077302,0.09315027,0.08163732,0.08545231,0.10604483,0.1176655,0.08245587,0.07301736,0.07513131,0.08748129,0.08327952
Chrysolepis,Fagaceae_22,0.07730345,0.07321613,0.09670153,0.073364595,0.07021747,0.08992042,0.06792161,0.07819675,0.07653238,0.0802945,0.094401199,0.07894226,0.08411171,0.07191225,0.11127133,0.03379396,0.14406077,0.07197315,0.09890871,0.03317869,0.00527512,0,0.03281151,0.1086078,0.09178334,0.10855241,0.07685735,0.06706244,0.06736071,0.08857424,0.09929675,0.08889167,0.0944615,0.08534908,0.11405931,0.09708042,0.06810049,0.07755333,0.10501314,0.11020112,0.06984937,0.09221424,0.07910293,0.08624246,0.08831469,0.06990455,0.08416465,0.08576505,0.06574812,0.08867555,0.08017084,0.08930532,0.07742807,0.06782088,0.06215426,0.08327491,0.10781227,0.06365113,0.07027221,0.06139575,0.07245338,0.06510002
Fagus,Fagaceae_23,0.07781202,0.08320987,0.09303856,0.07497102,0.081363997,0.08610068,0.08209829,0.07564922,0.07239879,0.07504662,0.0934215,0.07420217,0.09189564,0.080330995,0.10461499,0.02933063,0.14119709,0.08306413,0.09480107,0.03809637,0.03329377,0.03281151,0,0.10451017,0.10554427,0.11383557,0.09591166,0.0815682,0.08162837,0.123586898,0.11476553,0.09467135,0.09501269,0.09217756,0.11702695,0.09063512,0.07978784,0.07635037,0.10054693,0.10590477,0.07989322,0.08753105,0.07905872,0.08236176,0.08179513,0.08061785,0.082420599,0.08293302,0.08221886,0.08428517,0.07579076,0.08524958,0.08474254,0.08152845,0.08057358,0.08950899,0.10016526,0.07897638,0.0638205,0.07165076,0.078961999,0.08021163
Coffea,Rubiaceae_24,0.10267874,0.12452719,0.12334671,0.0971842,0.12538628,0.11691721,0.12281705,0.10139566,0.09372125,0.09638936,0.1162332,0.10022674,0.09635797,0.12385939,0.17307917,0.18249042,0.18599416,0.11042154,0.12474604,0.11978076,0.12287389,0.1086078,0.10451017,0,0.08141796,0.05283715,0.06391277,0.10959751,0.11418814,0.16145564,0.13657129,0.12033496,0.12337644,0.12361978,0.17327082,0.12148227,0.10479774,0.11092753,0.13825789,0.14687399,0.11798881,0.12096246,0.11346448,0.11195238,0.11276174,0.11260538,0.11490796,0.11350922,0.12567082,0.11375389,0.10137573,0.115916298,0.11626442,0.11708924,0.12666738,0.13234167,0.14397961,0.11231053,0.11113092,0.116163796,0.11889807,0.11622706
