,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Siphonodon,Celastraceae_10,0.02919985,0.02415398,0.02026942,0.02403051,0.02128478,0.01975837,0.04716854,0.02209344,0.02490518,0,0.04322767,0.02154858,0.08074459,0.08037423,0.09881423,0.03688525,0.12311213,0.09062877,0.09287418,0.07146402,0.07574458,0.0757961,0.07114719,0.08996432,0.10765906,0.1160669,0.08085528,0.08278336,0.08366844,0.09316174,0.09879985,0.07568027,0.07364672,0.08022252,0.08993364,0.07441359,0.06129113,0.05693791,0.07840392,0.08704062,0.06882901,0.07128713,0.06656387,0.06546691,0.06501548,0.070264396,0.06730087,0.06643009,0.06805221,0.06793633,0.06837107,0.06786625,0.07911435,0.07411424,0.07348085,0.07648998,0.08842254,0.07500436,0.07111965,0.07307692,0.07068635,0.06949807
Stackhousia,Celastraceae_11,0.05183705,0.04916162,0.04376819,0.04724146,0.04549509,0.04547659,0.07334378,0.04565981,0.04834669,0.04322767,0,0.04496085,0.09157266,0.08659364,0.11253561,0.04312115,0.136989498,0.10376294,0.10450726,0.08456014,0.08892051,0.08837537,0.08738098,0.10688463,0.11370444,0.12318383,0.100370599,0.09196629,0.09476162,0.09290893,0.11154088,0.09134497,0.09309791,0.09836895,0.10843226,0.09074806,0.0816398,0.07197887,0.09629367,0.09928571,0.08518206,0.09035243,0.08392395,0.08853174,0.08779383,0.08476859,0.08558448,0.08803057,0.08787718,0.08875497,0.09008556,0.0926683,0.088484699,0.086673699,0.09156993,0.07908455,0.10636277,0.08690641,0.08334347,0.08781472,0.08191808,0.07396534
Tripterygium,Celastraceae_12,0.01125016,0.01700723,0.02081494,0.016590096,0.0118941,0.01134073,0.04685152,0.010016895,0.01797552,0.02154858,0.04496085,0,0.08413608,0.07759372,0.1012778,0.02813853,0.12502831,0.09248712,0.09545524,0.06792266,0.07491417,0.07460317,0.07039537,0.09326668,0.10990072,0.121219695,0.08595989,0.08829146,0.08772389,0.09447923,0.10326685,0.07691206,0.07685702,0.08279125,0.094457899,0.0766721,0.06298119,0.05664636,0.07937069,0.08651805,0.06873956,0.07388881,0.065898498,0.06879886,0.06758168,0.07122888,0.06912246,0.06724605,0.06889059,0.07064364,0.071766095,0.07211059,0.07927412,0.07402913,0.07823301,0.07980255,0.08758076,0.07615265,0.06888159,0.07228623,0.07313371,0.07063104
Arbutus,Ericaceae_13,0.08057221,0.08654127,0.10027223,0.07705317,0.08659628,0.09464974,0.07694281,0.08415961,0.07909102,0.08074459,0.09157266,0.08413608,0,0.08820434,0.10894097,0.02561475,0.14562788,0.07875556,0.10170759,0.07561243,0.08509728,0.07924328,0.08614165,0.09005225,0.082137298,0.08930414,0.07407122,0.06852128,0.070438398,0.10511337,0.09943527,0.09043744,0.09505988,0.08829844,0.10908305,0.099939795,0.08112309,0.08731529,0.10568742,0.11468995,0.07915482,0.09700286,0.084073,0.09034778,0.09036846,0.090213897,0.08750266,0.09167084,0.08399483,0.09329994,0.08411021,0.09197578,0.0802583,0.07949081,0.08486957,0.08481045,0.10838593,0.081206496,0.080315997,0.08139868,0.07816836,0.07679231
Albizia,Fabaceae_14,0.07512294,0.08637692,0.10463551,0.06920592,0.08459068,0.09592464,0.08467854,0.08043758,0.07048562,0.08037423,0.08659364,0.07759372,0.08820434,0,0.09958697,0.09037833,0.12151648,0.05023041,0.07379237,0.06972789,0.07878752,0.06833736,0.07589591,0.11333582,0.09754131,0.10286659,0.08721256,0.08235074,0.08367796,0.10934165,0.10805957,0.08913729,0.09934715,0.09158879,0.13401529,0.10478987,0.08274097,0.09315673,0.12253596,0.13249127,0.08553333,0.10285604,0.08914199,0.096972095,0.09742398,0.09360293,0.091215698,0.09982487,0.08705047,0.09978603,0.08704788,0.098655595,0.08724237,0.08192328,0.08528755,0.09676289,0.10737555,0.07963542,0.07773735,0.0743871,0.08227848,0.082987298
Cicer,Fabaceae_15,0.09221557,0.127984,0.09503343,0.09567308,0.12706767,0.09312321,0.13332435,0.10188416,0.09079317,0.09881423,0.11253561,0.1012778,0.10894097,0.09958697,0,0.10160651,0.10140562,0.03380282,0.036368196,0.11835188,0.12828947,0.10284227,0.09715897,0.15287916,0.14720381,0.15431004,0.11426699,0.15397776,0.15000736,0.176347095,0.15651924,0.1049763,0.10165428,0.11427573,0.16093849,0.10863874,0.09416509,0.05259761,0.10418483,0.11103782,0.12811834,0.09599057,0.09413434,0.09457846,0.09200283,0.09895227,0.0930622,0.09692051,0.12291822,0.09393064,0.09590339,0.0977587,0.12863415,0.12910897,0.12306667,0.13686687,0.12879497,0.14221482,0.09281503,0.11659085,0.12702023,0.12913446
Glycine,Fabaceae_16,0.0293809,0.14162276,0.03052632,0.02953586,0.13895886,0.03333333,0.15020097,0.02713987,0.02971311,0.03688525,0.04312115,0.02813853,0.02561475,0.09037833,0.10160651,0,0.12322629,0.00922131,0.00614754,0.12287863,0.13436029,0.03295572,0.02868852,0.15995289,0.14004283,0,0.03278689,0.14531301,0.15329602,0.18941138,0.16314379,0.03790984,0.03092784,0.11066398,0.18654958,0.03219107,0.02995868,0.02795031,0.02892562,0.02830189,0.13816344,0.03381148,0.0307377,0.03582719,0.03278689,0.03381148,0.03222453,0.03326403,0.13475177,0.03477345,0.03278689,0.03537981,0.13433146,0.13719426,0.1418098,0.15870995,0.13425926,0.16102806,0.02677652,0.12175564,0.13046205,0.133642495
Lotus,Fabaceae_17,0.11613806,0.15086896,0.13976298,0.11987896,0.149207699,0.13503575,0.14843448,0.126077097,0.11757333,0.12311213,0.136989498,0.12502831,0.14562788,0.12151648,0.10140562,0.12322629,0,0.08395483,0.08994379,0.13423507,0.14237805,0.13011748,0.1277156,0.16290832,0.16471334,0.14969109,0.15456919,0.16221245,0.15805694,0.20054244,0.17478545,0.13840759,0.13776435,0.14694264,0.18867925,0.1395569,0.12857433,0.10324948,0.13956997,0.14410646,0.14751426,0.13060978,0.13027218,0.12711003,0.12932331,0.13177681,0.12950655,0.13020729,0.14440725,0.12870688,0.13042592,0.132202697,0.15087971,0.15302408,0.14316167,0.15666303,0.15989275,0.14168157,0.11772588,0.13605093,0.14951918,0.14941905
Medicago,Fabaceae_18,0.08717181,0.07351169,0.08950744,0.08228139,0.07152114,0.08893739,0.07237513,0.09486697,0.09015119,0.09062877,0.10376294,0.09248712,0.07875556,0.05023041,0.03380282,0.00922131,0.08395483,0,0.02745436,0.064128096,0.07027324,0.06839604,0.07829141,0.10206437,0.09461282,0.10112191,0.0773895,0.07876623,0.080211296,0.07793139,0.08698079,0.08510178,0.08852724,0.07868696,0.10136296,0.09417564,0.07531138,0.06795689,0.10222001,0.10882991,0.07224819,0.08904296,0.08145841,0.08757139,0.08530202,0.08499834,0.083056097,0.08944641,0.07581627,0.08691486,0.08163493,0.09109477,0.07543923,0.07188424,0.06457294,0.07353089,0.10762943,0.06643535,0.08145558,0.06800789,0.07089484,0.06432261
Pisum,Fabaceae_19,0.09505528,0.09994811,0.09096487,0.09177264,0.09986505,0.09050536,0.10046404,0.09780319,0.0904,0.09287418,0.10450726,0.09545524,0.10170759,0.07379237,0.036368196,0.00614754,0.08994379,0.02745436,0,0.0897305,0.09819356,0.09226689,0.08869719,0.11424904,0.12386484,0.12520111,0.10461939,0.10551014,0.10413056,0.12339623,0.11362774,0.09433672,0.09310186,0.09636136,0.10601193,0.09622642,0.08450489,0.06600408,0.10622575,0.11003538,0.09794056,0.09068702,0.08768397,0.08850504,0.08712364,0.09266235,0.08857274,0.09136746,0.09773567,0.08897722,0.09047692,0.09308022,0.09496367,0.09469602,0.09283241,0.09616337,0.10750193,0.09986072,0.08851613,0.09173944,0.09583922,0.09422428
